Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist,ret_5d,bb_upper,bb_lower,low_52w
2023-07-23,120.45134735107422,1348362,11760.2998046875,,,5.25,43.750579833984375,,,,,0,0,0,,,,,,,,stable,0.0,0.0,0.0,,,-0.1070989692736776,-0.0812051114377896,-0.1730073330677695,-0.0762258133444087,-0.1102374688200679,-0.0524532641995669,11.95,6.93,,,,
2023-07-24,121.5752944946289,1645737,11801.900390625,82.73999786376953,13.90999984741211,5.25,45.345970153808594,,,,,0,0,0,0.009331129690718809,,,,,,,stable,0.0,0.0,0.0,,,-0.0951421316831249,-0.0637039512920895,-0.1635506661168538,-0.072844935296556,-0.1060253903375797,-0.0466298315251334,12.06,7.0,,,,
2023-07-25,118.76539611816406,752745,11882.6796875,83.63999938964844,13.859999656677246,5.25,46.02094650268555,,,,,0,0,0,-0.02311241266694186,,,,,,,stable,0.0,0.0,0.0,,,-0.0578186884435856,-0.0181223210285651,-0.1501269559392292,-0.0517804425330964,-0.0832829805037868,-0.0176723688138468,11.78,6.84,,,,
2023-07-26,117.82877349853516,573117,11906.1298828125,82.91999816894531,13.1899995803833,5.25,46.6959228515625,,,,,0,0,0,-0.007886325901671154,,,,,,,stable,0.0,0.0,0.0,,,-0.0711834516496414,-0.0201198623434173,-0.1513921896020428,-0.0462723626877784,-0.0856211125408595,-0.0244215942058239,11.69,6.78,,,,
2023-07-27,115.39350128173828,865367,11847.7197265625,84.23999786376953,14.40999984741211,5.5,46.266395568847656,,,,,0,0,0,-0.02066789074085673,,,,,,,stable,0.0,0.0,0.0,,,-0.0630478026998866,-0.0096906866606962,-0.1580534612657824,-0.0439758495813742,-0.0646859669483156,-0.0116208869310225,11.44,6.64,,,,
2023-07-30,110.8976593017578,542426,11789.2802734375,84.23999786376953,14.40999984741211,5.5,46.02094650268555,,,,,0,0,0,-0.03896096339952182,,,,,,,stable,0.0,0.0,0.0,,,-0.0250633308149148,0.0288187089717921,-0.1273295083277733,-0.000426948625223,-0.0216545224414189,0.0290602464955034,11.0,6.38,-0.07931574249203466,,,
2023-07-31,112.58360290527344,637760,11692.23046875,85.55999755859375,13.630000114440918,5.5,45.77550506591797,,,,,0,0,0,0.015202697821854905,,,,,,,stable,0.0,0.0,0.0,,,-0.036305282031216,0.0027882700103873,-0.1471133715599532,-0.0348575867188577,-0.036305282031216,0.010597692734011,11.17,6.48,-0.0739598585940725,,,
2023-08-01,113.14556884765624,452176,11636.0703125,84.91000366210938,13.93000030517578,5.5,46.05595016479492,,,,,0,0,0,0.004991543420897804,,,,,,,stable,0.0,0.0,0.0,,,-0.0544562533681235,-0.013221495070078,-0.1246202347963103,-0.0273957838869948,-0.0477740850166982,-0.0080655950504899,11.22,6.51,-0.04731872628047695,,,
2023-08-02,111.0849838256836,347259,11478.2802734375,83.19999694824219,16.09000015258789,5.5,44.87183380126953,,,,,0,0,0,-0.018211804871891113,,,,,,,stable,0.0,0.0,0.0,,,-0.0420215312623217,-0.0110020931404409,-0.0930683247286717,9.370113896767228e-05,-0.0488277200253212,-0.0267921312404907,11.02,6.39,-0.05723381032168173,,,
2023-08-03,110.8976593017578,246999,11375.7802734375,85.13999938964844,15.920000076293944,5.5,44.49790191650391,,,,,0,0,0,-0.0016863172453600583,,,,,,,stable,0.0,0.0,0.0,,,-0.028472345578552,-0.0090239887136083,-0.0727875424011346,0.005706472303729,-0.0557432253468005,-0.0487933243312538,11.0,6.38,-0.03896096339952182,,,
